,Member Institution,Conference,Division
251,University of Georgia,Southeastern Conference,1
252,University of Hartford,America East Conference,1
253,"University of Hawaii, Manoa",Big West Conference,1
254,University of Houston,American Athletic Conference,1
255,University of Idaho,Big Sky Conference,1
256,University of Illinois at Chicago,Horizon League,1
257,University of Illinois Urbana-Champaign,Big Ten Conference,1
258,University of Iowa,Big Ten Conference,1
259,University of Kansas,Big 12 Conference,1
260,University of Kentucky,Southeastern Conference,1
261,University of Louisiana at Lafayette,Sun Belt Conference,1
262,University of Louisiana Monroe,Sun Belt Conference,1
263,University of Louisville,Atlantic Coast Conference,1
264,University of Maine,America East Conference,1
265,University of Maryland Eastern Shore,Mid-Eastern Athletic Conf.,1
266,"University of Maryland, Baltimore County",America East Conference,1
267,"University of Maryland, College Park",Big Ten Conference,1
268,University of Massachusetts Lowell,America East Conference,1
269,"University of Massachusetts, Amherst",Atlantic 10 Conference,1
270,University of Memphis,American Athletic Conference,1
271,University of Miami (Florida),Atlantic Coast Conference,1
272,University of Michigan,Big Ten Conference,1
273,"University of Minnesota, Twin Cities",Big Ten Conference,1
274,University of Mississippi,Southeastern Conference,1
275,"University of Missouri, Columbia",Southeastern Conference,1
276,University of Missouri-Kansas City,Western Athletic Conference,1
277,University of Montana,Big Sky Conference,1
278,University of Nebraska Omaha,The Summit League,1
279,"University of Nebraska, Lincoln",Big Ten Conference,1
280,"University of Nevada, Las Vegas",Mountain West Conference,1
281,"University of Nevada, Reno",Mountain West Conference,1
282,University of New Hampshire,America East Conference,1
283,University of New Mexico,Mountain West Conference,1
284,University of New Orleans,Southland Conference,1
285,University of North Alabama,ASUN Conference,1
286,University of North Carolina Asheville,Big South Conference,1
287,University of North Carolina Wilmington,Colonial Athletic Association,1
288,"University of North Carolina, Chapel Hill",Atlantic Coast Conference,1
289,University of North Dakota,The Summit League,1
290,University of North Florida,ASUN Conference,1
291,University of North Texas,Conference USA,1
292,University of Northern Colorado,Big Sky Conference,1
293,University of Northern Iowa,Missouri Valley Conference,1
294,University of Notre Dame,Atlantic Coast Conference,1
295,University of Oklahoma,Big 12 Conference,1
296,University of Oregon,Pac-12 Conference,1
297,University of Pennsylvania,The Ivy League,1
298,University of Pittsburgh,Atlantic Coast Conference,1
299,University of Portland,West Coast Conference,1
300,University of Rhode Island,Atlantic 10 Conference,1
301,University of Richmond,Atlantic 10 Conference,1
302,University of San Diego,West Coast Conference,1
303,University of San Francisco,West Coast Conference,1
304,University of South Alabama,Sun Belt Conference,1
305,University of South Carolina Upstate,Big South Conference,1
306,"University of South Carolina, Columbia",Southeastern Conference,1
307,University of South Dakota,The Summit League,1
308,University of South Florida,American Athletic Conference,1
309,University of Southern California,Pac-12 Conference,1
310,University of Tennessee at Chattanooga,Southern Conference,1
311,University of Tennessee at Martin,Ohio Valley Conference,1
312,"University of Tennessee, Knoxville",Southeastern Conference,1
313,University of Texas at Arlington,Sun Belt Conference,1
314,University of Texas at Austin,Big 12 Conference,1
315,University of Texas at El Paso,Conference USA,1
316,University of Texas at San Antonio,Conference USA,1
317,University of the Incarnate Word,Southland Conference,1
318,University of the Pacific,West Coast Conference,1
319,University of Toledo,Mid-American Conference,1
320,University of Utah,Pac-12 Conference,1
321,University of Vermont,America East Conference,1
322,University of Virginia,Atlantic Coast Conference,1
323,University of Washington,Pac-12 Conference,1
324,University of Wisconsin-Green Bay,Horizon League,1
325,University of Wisconsin-Madison,Big Ten Conference,1
326,University of Wisconsin-Milwaukee,Horizon League,1
327,University of Wyoming,Mountain West Conference,1
328,Utah State University,Mountain West Conference,1
329,Utah Valley University,Western Athletic Conference,1
330,Valparaiso University,Missouri Valley Conference,1
331,Vanderbilt University,Southeastern Conference,1
332,Villanova University,Big East Conference,1
333,Virginia Commonwealth University,Atlantic 10 Conference,1
334,Virginia Military Institute,Southern Conference,1
335,Virginia Polytechnic Institute and State University,Atlantic Coast Conference,1
336,Wagner College,Northeast Conference,1
337,Wake Forest University,Atlantic Coast Conference,1
338,Washington State University,Pac-12 Conference,1
339,Weber State University,Big Sky Conference,1
340,West Virginia University,Big 12 Conference,1
341,Western Carolina University,Southern Conference,1
342,Western Illinois University,The Summit League,1
343,Western Kentucky University,Conference USA,1
344,Western Michigan University,Mid-American Conference,1
345,Wichita State University,American Athletic Conference,1
346,William & Mary,Colonial Athletic Association,1
347,Winthrop University,Big South Conference,1
348,Wofford College,Southern Conference,1
349,Wright State University,Horizon League,1
350,Xavier University,Big East Conference,1
351,Yale University,The Ivy League,1
352,Youngstown State University,Horizon League,1
353,Academy of Art University,Pacific West Conference,2
354,Adams State University,Rocky Mountain Athletic Conference,2
355,Adelphi University,Northeast-10 Conference,2
356,Albany State University (Georgia),Southern Intercol. Ath. Conf.,2
357,Alderson Broaddus University,Great Midwest Athletic Conference,2
358,American International College,Northeast-10 Conference,2
359,Anderson University (South Carolina),South Atlantic Conference,2
360,Angelo State University,Lone Star Conference,2
361,Arkansas Tech University,Great American Conference,2
362,Ashland University,Great Lakes Intercollegiate Athletic Conference,2
363,Assumption College,Northeast-10 Conference,2
364,Auburn University at Montgomery,Gulf South Conference,2
365,Augusta University,Peach Belt Conference,2
366,Augustana University (South Dakota),Northern Sun Intercollegiate Conference,2
367,Azusa Pacific University,Pacific West Conference,2
368,Barry University,Sunshine State Conference,2
369,Barton College,Conference Carolinas,2
